This list contains all games supported by FinalBurn Neo.

389 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| 88games	|  	| '88 Games						| 		| 1988	| Konami	| GX861		| 					| 861m01.k18| src/burn/drv/konami/d_88games.cpp|
| contra	|  	| Contra (US / Asia, set 1)				| 		| 1987	| Konami	| GX633		| 					| 633m03.18a| src/burn/drv/konami/d_contra.cpp|
| contra1	|  	| Contra (US / Asia, set 2)				| contra	| 1987	| Konami	| GX633		| 					| 633i03.18a| src/burn/drv/konami/d_contra.cpp|
| contrae	|  	| Contra (US / Asia, set 3)				| contra	| 1987	| Konami	| GX633		| 					| 633_e03.18a| src/burn/drv/konami/d_contra.cpp|
| crazycop	|  	| Crazy Cop (Japan)					| gbusters	| 1988	| Konami	| GX878		| 					| 878m02.k13| src/burn/drv/konami/d_gbusters.cpp|
| crimfghtj	|  	| Crime Fighters (Japan 2 Players)			| crimfght	| 1989	| Konami	| GX821		| 					| 821p02.f24| src/burn/drv/konami/d_crimfght.cpp|
| crimfghtu	|  	| Crime Fighters (US 4 Players)				| crimfght	| 1989	| Konami	| GX821		| 					| 821l02.f24| src/burn/drv/konami/d_crimfght.cpp|
| crimfght	|  	| Crime Fighters (World 2 players)			| 		| 1989	| Konami	| GX821		| 					| 821r02.f24| src/burn/drv/konami/d_crimfght.cpp|
| vendetta2pp	|  	| Crime Fighters 2 (Japan, 2 Players ver. P)		| vendetta	| 1991	| Konami	| GX081		| 					| 081p01.17c| src/burn/drv/konami/d_vendetta.cpp|
| vendettan	|  	| Crime Fighters 2 (Japan, 4 Players ver. N)		| vendetta	| 1991	| Konami	| GX081		| 					| 081n01.17c| src/burn/drv/konami/d_vendetta.cpp|
| cuebrickj	|  	| Cue Brick (Japan)					| cuebrick	| 1989	| Konami	| GX903		| 					| 903_e05.6n| src/burn/drv/konami/d_twin16.cpp|
| cuebrick	|  	| Cue Brick (World, version D)				| 		| 1989	| Konami	| GX903		| 					| 903d25.g12| src/burn/drv/konami/d_tmnt.cpp|
| dairesya	|  	| Dai Ressya Goutou (Japan)				| ironhors	| 1986	| Konami (Kawaku| GX560		| 					| 560-k03.13c| src/burn/drv/konami/d_ironhors.cpp|
| darkadv	|  	| Dark Adventure					| devilw	| 1987	| Konami	| GX687		| 					| 687_n05.6n| src/burn/drv/konami/d_twin16.cpp|
| detatwin	|  	| Detana!! Twin Bee (Japan ver. J)			| blswhstl	| 1991	| Konami	| GX060		| 					| 060_j02.e09| src/burn/drv/konami/d_tmnt.cpp|
| devstors2	|  	| Devastators (ver. 2)					| devstors	| 1988	| Konami	| GX890		| Minor Video glitches in level 2.	| 890_202.k11| src/burn/drv/konami/d_mainevt.cpp|
| devstorsv	|  	| Devastators (ver. V)					| devstors	| 1988	| Konami	| GX890		| Minor Video glitches in level 2.	| 890v02.k11| src/burn/drv/konami/d_mainevt.cpp|
| devstorsx	|  	| Devastators (ver. X)					| devstors	| 1988	| Konami	| GX890		| Minor Video glitches in level 2.	| 890x02.k11| src/burn/drv/konami/d_mainevt.cpp|
| devstors	|  	| Devastators (ver. Z)					| 		| 1988	| Konami	| GX890		| Minor Video glitches in level 2.	| 890z02.k11| src/burn/drv/konami/d_mainevt.cpp|
| devilw	|  	| Devil World						| 		| 1987	| Konami	| GX687		| 					| 687_t05.6n| src/burn/drv/konami/d_twin16.cpp|
| ddribble	|  	| Double Dribble					| 		| 1986	| Konami	| GX690		| 					| 690c03.bin| src/burn/drv/konami/d_ddribble.cpp|
| ddribblep	|  	| Double Dribble (prototype?)				| ddribble	| 1986	| Konami	| GX690		| 					| ebs_11-19.c19| src/burn/drv/konami/d_ddribble.cpp|
| dbza		|  	| Dragonball Z (rev A)					| dbz		| 1993	| Banpresto	| Miscellaneous	| 					| 222a11.9e| src/burn/drv/konami/d_dbz.cpp|
| dbz		|  	| Dragonball Z (rev B)					| 		| 1993	| Banpresto	| Miscellaneous	| 					| 222b11.9e| src/burn/drv/konami/d_dbz.cpp|
| dbz2		|  	| Dragonball Z 2 - Super Battle				| 		| 1994	| Banpresto	| Miscellaneous	| 					| a9e.9e| src/burn/drv/konami/d_dbz.cpp|
| esckids	|  	| Escape Kids (Asia, 4 Players)				| 		| 1991	| Konami	| GX975		| 					| 17c.bin| src/burn/drv/konami/d_vendetta.cpp|
| esckidsj	|  	| Escape Kids (Japan, 2 Players)			| esckids	| 1991	| Konami	| GX975		| 					| 975r01| src/burn/drv/konami/d_vendetta.cpp|
| farwest	| D NW	| Far West						| ironhors	| 1986	| bootleg?	| GX560		| 					| ironhors.008| src/burn/drv/konami/d_ironhors.cpp|
| fastlane	|  	| Fast Lane						| 		| 1987	| Konami	| GX752		| 					| 752_m02.9h| src/burn/drv/konami/d_fastlane.cpp|
| finalizrb	|  	| Finalizer - Super Transformation (bootleg)		| finalizr	| 1985	| bootleg	| GX523		| 					| finalizr.5| src/burn/drv/konami/d_finalzr.cpp|
| finalizr	|  	| Finalizer - Super Transformation (set 1)		| 		| 1985	| Konami	| GX523		| 					| 523k01.9c| src/burn/drv/konami/d_finalzr.cpp|
| finalizra	|  	| Finalizer - Super Transformation (set 2)		| finalizr	| 1985	| Konami	| GX523		| 					| 1.9c| src/burn/drv/konami/d_finalzr.cpp|
| flkatck	|  	| Flak Attack (Japan)					| mx5000	| 1987	| Konami	| GX669		| 					| 669_p01.16c| src/burn/drv/konami/d_flkatck.cpp|
| flkatcka	|  	| Flak Attack (Japan, PWB 450593 sub-board)		| mx5000	| 1987	| Konami	| GX669		| 					| 669_p01.16c| src/burn/drv/konami/d_flkatck.cpp|
| gijoea	|  	| G.I. Joe (Asia, AA)					| gijoe		| 1992	| Konami	| GX069		| 					| 069aa03.14e| src/burn/drv/konami/d_gijoe.cpp|
| gijoej	|  	| G.I. Joe (Japan, JAA)					| gijoe		| 1992	| Konami	| GX069		| 					| 069jaa03.14e| src/burn/drv/konami/d_gijoe.cpp|
| gijoeua	|  	| G.I. Joe (US, UAA)					| gijoe		| 1992	| Konami	| GX069		| 					| 069uaa03.14e| src/burn/drv/konami/d_gijoe.cpp|
| gijoeu	|  	| G.I. Joe (US, UAB)					| gijoe		| 1992	| Konami	| GX069		| 					| 069uab03.14e| src/burn/drv/konami/d_gijoe.cpp|
| gijoe		|  	| G.I. Joe (World, EAB, set 1)				| 		| 1992	| Konami	| GX069		| 					| 069eab03.14e| src/burn/drv/konami/d_gijoe.cpp|
| gijoeea	|  	| G.I. Joe (World, EB8, prototype?)			| gijoe		| 1992	| Konami	| GX069		| 					| rom3.14e| src/burn/drv/konami/d_gijoe.cpp|
| gaiapols	|  	| Gaiapolis (ver EAF)					| 		| 1993	| Konami	| GX123		| 					| 123e07.24m| src/burn/drv/konami/d_mystwarr.cpp|
| gaiapolsj	|  	| Gaiapolis (ver JAF)					| gaiapols	| 1993	| Konami	| GX123		| 					| 123e07.24m| src/burn/drv/konami/d_mystwarr.cpp|
| gaiapolsu	|  	| Gaiapolis (ver UAF)					| gaiapols	| 1993	| Konami	| GX123		| 					| 123e07.24m| src/burn/drv/konami/d_mystwarr.cpp|
| gwarrior	|  	| Galactic Warriors					| 		| 1985	| Konami	| GX578		| 					| 400-a06.15l| src/burn/drv/konami/d_nemesis.cpp|
| gbusters	|  	| Gang Busters (set 1)					| 		| 1988	| Konami	| GX878		| 					| 878n02.k13| src/burn/drv/konami/d_gbusters.cpp|
| gbustersa	|  	| Gang Busters (set 2)					| gbusters	| 1988	| Konami	| GX878		| 					| 878_02.k13| src/burn/drv/konami/d_gbusters.cpp|
| garuka	|  	| Garuka (Japan ver. W)					| devstors	| 1988	| Konami	| GX890		| Minor Video glitches in level 2.	| 890w02.k11| src/burn/drv/konami/d_mainevt.cpp|
| gradiusb	|  	| Gradius (Bubble System)				| nemesis	| 1985	| Konami	| Miscellaneous	| 					| boot.bin| src/burn/drv/konami/d_nemesis.cpp|
| gradius	|  	| Gradius (Japan, ROM version)				| nemesis	| 1985	| Konami	| GX456		| 					| 400-a06.15l| src/burn/drv/konami/d_nemesis.cpp|
| gradius2	|  	| Gradius II - GOFER no Yabou (Japan New ver.)		| vulcan	| 1988	| Konami	| GX785		| 					| 785_x05.6n| src/burn/drv/konami/d_twin16.cpp|
| gradius2a	|  	| Gradius II - GOFER no Yabou (Japan Old ver.)		| vulcan	| 1988	| Konami	| GX785		| 					| 785_p05.6n| src/burn/drv/konami/d_twin16.cpp|
| gradius2b	|  	| Gradius II - GOFER no Yabou (Japan Older ver.)	| vulcan	| 1988	| Konami	| GX785		| 					| 785_p05.6n| src/burn/drv/konami/d_twin16.cpp|
| gradius3a	|  	| Gradius III (Asia)					| gradius3	| 1989	| Konami	| GX945		| 					| 945_13.f15| src/burn/drv/konami/d_gradius3.cpp|
| gradius3j	|  	| Gradius III (Japan, program code S)			| gradius3	| 1989	| Konami	| GX945		| 					| 945_s13.f15| src/burn/drv/konami/d_gradius3.cpp|
| gradius3js	|  	| Gradius III (Japan, program code S, split)		| gradius3	| 1989	| Konami	| GX945		| 					| 945_s13.f15| src/burn/drv/konami/d_gradius3.cpp|
| gradius3	|  	| Gradius III (World, program code R)			| 		| 1989	| Konami	| GX945		| 					| 945_r13.f15| src/burn/drv/konami/d_gradius3.cpp|
| gberet	|  	| Green Beret						| 		| 1985	| Konami	| GX577		| 					| 577l03.10c| src/burn/drv/konami/d_gberet.cpp|
| gberetb	|  	| Green Beret (bootleg)					| gberet	| 1985	| bootleg	| GX577		| 					| 2-ic82.10g| src/burn/drv/konami/d_gberet.cpp|
| gryzor	|  	| Gryzor (Set 1)					| contra	| 1987	| Konami	| GX633		| 					| 633j03.18a| src/burn/drv/konami/d_contra.cpp|
| gryzor1	|  	| Gryzor (Set 2)					| contra	| 1987	| Konami	| GX633		| 					| 633g2.18a| src/burn/drv/konami/d_contra.cpp|
| gyrussb	|  	| Gyruss (bootleg)					| gyruss	| 1983	| bootleg	| GX347		| 					| 1.bin| src/burn/drv/konami/d_gyruss.cpp|
| gyrussce	|  	| Gyruss (Centuri)					| gyruss	| 1983	| Konami (Centur| GX347		| 					| gya-1.11j| src/burn/drv/konami/d_gyruss.cpp|
| gyruss	|  	| Gyruss (Konami)					| 		| 1983	| Konami	| GX347		| 					| gyrussk.1| src/burn/drv/konami/d_gyruss.cpp|
| hpuncher	|  	| Hard Puncher (Japan)					| fround	| 1988	| Konami	| GX870		| 					| 870_h05.6n| src/burn/drv/konami/d_twin16.cpp|
| hcastlee	|  	| Haunted Castle (ver. E)				| hcastle	| 1988	| Konami	| GX768		| 					| 768e03.k12| src/burn/drv/konami/d_hcastle.cpp|
| hcastlek	|  	| Haunted Castle (ver. K)				| hcastle	| 1988	| Konami	| GX768		| 					| 768k03.k12| src/burn/drv/konami/d_hcastle.cpp|
| hcastle	|  	| Haunted Castle (ver. M)				| 		| 1988	| Konami	| GX768		| 					| m03.k12| src/burn/drv/konami/d_hcastle.cpp|
| hexionb	|  	| Hexion (Bootleg, Asia ver. AAA)			| hexion	| 1992	| Bootleg	| GX122		| 					| hexionb.u2| src/burn/drv/konami/d_hexion.cpp|
| hexion	|  	| Hexion (Japan ver. JAB)				| 		| 1992	| Konami	| GX122		| 					| 122__j_a__b01.16f| src/burn/drv/konami/d_hexion.cpp|
| hipoly	|   NW	| Hipoly (bootleg of Hyper Olympic)			| trackfld	| 1983	| bootleg	| Miscellaneous	| 					| 2.1a| src/burn/drv/konami/d_trackfld.cpp|
| hotchase	|  	| Hot Chase (set 1)					| 		| 1988	| Konami	| Miscellaneous	| 					| 763k05| src/burn/drv/konami/d_wecleman.cpp|
| hotchasea	|  	| Hot Chase (set 2)					| hotchase	| 1988	| Konami	| Miscellaneous	| 					| 763r05.r16| src/burn/drv/konami/d_wecleman.cpp|
| hcrashc	|  	| Hyper Crash (version C)				| hcrash	| 1987	| Konami	| GX790		| 					| 790-c03.t9| src/burn/drv/konami/d_nemesis.cpp|
| hcrash	|  	| Hyper Crash (version D)				| 		| 1987	| Konami	| GX790		| 					| 790-d03.t9| src/burn/drv/konami/d_nemesis.cpp|
| hyprolym	|  	| Hyper Olympic						| trackfld	| 1983	| Konami	| Miscellaneous	| 					| 361-d01.a01| src/burn/drv/konami/d_trackfld.cpp|
| hpolym84	|  	| Hyper Olympic '84					| hyperspt	| 1984	| Konami	| GX330		| 					| c01| src/burn/drv/konami/d_hyperspt.cpp|
| hyprolymb	|   NW	| Hyper Olympic (bootleg, set 1)			| trackfld	| 1983	| bootleg	| Miscellaneous	| 					| blue.a1| src/burn/drv/konami/d_trackfld.cpp|
| hyprolymba	|   NW	| Hyper Olympic (bootleg, set 2)			| trackfld	| 1983	| bootleg	| Miscellaneous	| 					| 1.a1| src/burn/drv/konami/d_trackfld.cpp|
| hyperspt	|  	| Hyper Sports						| 		| 1984	| Konami (Centur| GX330		| 					| c01| src/burn/drv/konami/d_hyperspt.cpp|
| hypersptb	|   NW	| Hyper Sports (bootleg)				| hyperspt	| 1984	| bootleg	| GX330		| imcomplete sound			| 1.5g| src/burn/drv/konami/d_hyperspt.cpp|
| hypsptsp	|  	| Hyper Sports Special (Japan)				| 88games	| 1988	| Konami	| GX861		| 					| 861f03.k18| src/burn/drv/konami/d_88games.cpp|
| ironhors	|  	| Iron Horse						| 		| 1986	| Konami	| GX560		| 					| 560_k03.13c| src/burn/drv/konami/d_ironhors.cpp|
| jackalbl	|  	| Jackal (bootleg, Rotary Joystick)			| jackal	| 1986	| bootleg	| Miscellaneous	| 					| epr-a-3.bin| src/burn/drv/konami/d_jackal.cpp|
| jackal	|  	| Jackal (World, 8-way Joystick)			| 		| 1986	| Konami	| Miscellaneous	| 					| 631_v02.15d| src/burn/drv/konami/d_jackal.cpp|
| jackalr	|  	| Jackal (World, Rotary Joystick)			| jackal	| 1986	| Konami	| Miscellaneous	| 					| 631_q02.15d| src/burn/drv/konami/d_jackal.cpp|
| jailbrek	|  	| Jail Break						| 		| 1986	| Konami	| GX507		| 					| 507p03.11d| src/burn/drv/konami/d_jailbrek.cpp|
| jailbrekb	|  	| Jail Break (bootleg)					| jailbrek	| 1986	| bootleg	| GX507		| 					| 1.k6| src/burn/drv/konami/d_jailbrek.cpp|
| junofrst	|  	| Juno First						| 		| 1983	| Konami	| GX310		| 					| jfa_b9.bin| src/burn/drv/konami/d_junofrst.cpp|
| junofrstg	|  	| Juno First (Gottlieb)					| junofrst	| 1983	| Konami (Gottli| GX310		| 					| jfg_a.9b| src/burn/drv/konami/d_junofrst.cpp|
| kicker	|  	| Kicker						| 		| 1985	| Konami	| GX477		| 					| 477-l03.d9| src/burn/drv/konami/d_shaolins.cpp|
| kittenk	|  	| Kitten Kaboodle					| 		| 1988	| Konami	| GX712		| 					| kitten.15k| src/burn/drv/konami/d_nemesis.cpp|
| rockragej	|  	| Koi no Hotrock (Japan)				| rockrage	| 1986	| Konami	| GX620		| 					| 620k01.16c| src/burn/drv/konami/d_rockrage.cpp|
| konami88	|  	| Konami '88						| 88games	| 1988	| Konami	| GX861		| 					| 861.e03| src/burn/drv/konami/d_88games.cpp|
| konamigt	|  	| Konami GT						| 		| 1985	| Konami	| GX561		| 					| 561-c01.12a| src/burn/drv/konami/d_nemesis.cpp|
| rf2		|  	| Konami RF2 - Red Fighter				| konamigt	| 1985	| Konami	| GX561		| 					| 400-a06.15l| src/burn/drv/konami/d_nemesis.cpp|
| kontest	|  	| Konami Test Board (GX800, Japan)			| 		| 1987?	| Konami	| GX800		| 					| 800b01.10d| src/burn/drv/konami/d_kontest.cpp|
| pingpong	|  	| Konami's Ping-Pong					| 		| 1985	| Konami	| GX555		| 					| 555_e04.7a| src/burn/drv/konami/d_pingpong.cpp|
| dadandrn	|  	| Kyukyoku Sentai Dadandarn (ver JAA)			| mmaulers	| 1993	| Konami	| GX170		| 					| 170jaa07.24m| src/burn/drv/konami/d_mystwarr.cpp|
| divebomb	|  	| Kyuukoukabakugekitai - Dive Bomber Squad (Japan, prototype)| 		| 1989	| Konami	| GX840		| bugs are normal!			| u20.27256| src/burn/drv/konami/d_divebomb.cpp|
| labyrunr	|  	| Labyrinth Runner (Japan)				| tricktrp	| 1987	| Konami	| GX771		| 					| 771j04.10f| src/burn/drv/konami/d_labyrunr.cpp|
| labyrunrk	|  	| Labyrinth Runner (World Ver. K)			| tricktrp	| 1987	| Konami	| GX771		| 					| 771k04.10f| src/burn/drv/konami/d_labyrunr.cpp|
| lethaleneaa	|  	| Lethal Enforcers (ver EAA, 09/09/92 09:44)		| lethalen	| 1992	| Konami	| GX191		| 					| 191_a01.u4| src/burn/drv/konami/d_lethal.cpp|
| lethaleneab	|  	| Lethal Enforcers (ver EAB, 10/14/92 19:53)		| lethalen	| 1992	| Konami	| GX191		| 					| 191eab01.u4| src/burn/drv/konami/d_lethal.cpp|
| lethalenead	|  	| Lethal Enforcers (ver EAD, 11/11/92 10:52)		| lethalen	| 1992	| Konami	| GX191		| 					| 191ead01.u4| src/burn/drv/konami/d_lethal.cpp|
| lethaleneae	|  	| Lethal Enforcers (ver EAE, 11/19/92 16:24)		| lethalen	| 1992	| Konami	| GX191		| 					| 191eae01.u4| src/burn/drv/konami/d_lethal.cpp|
| lethalenj	| D NW	| Lethal Enforcers (ver JAD, 12/04/92 17:16)		| lethalen	| 1992	| Konami	| GX191		| no sprites!				| 191jad01.u4| src/burn/drv/konami/d_lethal.cpp|
| lethalenua	|  	| Lethal Enforcers (ver UAA, 08/17/92 21:38)		| lethalen	| 1992	| Konami	| GX191		| 					| 191uaa01.u4| src/burn/drv/konami/d_lethal.cpp|
| lethalenub	|  	| Lethal Enforcers (ver UAB, 09/01/92 11:12)		| lethalen	| 1992	| Konami	| GX191		| 					| 191uab01.u4| src/burn/drv/konami/d_lethal.cpp|
| lethalen	|  	| Lethal Enforcers (ver UAE, 11/19/92 15:04)		| 		| 1992	| Konami	| GX191		| 					| 191uae01.u4| src/burn/drv/konami/d_lethal.cpp|
| lethalenux	|  	| Lethal Enforcers (ver unknown, US, 08/06/92 15:11, hacked/proto?)| lethalen| 1992	| Konami	| GX191		| 					| 191xxx01.u4| src/burn/drv/konami/d_lethal.cpp|
