This list contains all games supported by FinalBurn Neo.

6907 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| 88games	|  	| '88 Games						| 		| 1988	| Konami	| GX861		| 					| 861m01.k18| src/burn/drv/konami/d_88games.cpp|
| 1941j		|  	| 1941 - Counter Attack (Japan)				| 1941		| 1990	| Capcom	| CPS1		| 					| 41_36.12f| src/burn/drv/capcom/d_cps1.cpp|
| 1941r1	|  	| 1941 - Counter Attack (World)				| 1941		| 1990	| Capcom	| CPS1		| 					| 41e_30.11f| src/burn/drv/capcom/d_cps1.cpp|
| 1942c64	|  	| 1942 (C64 Music)					| 1942		| 2015	| hack by Minwah| Miscellaneous	| 					| srb-03.m3| src/burn/drv/pre90s/d_1942.cpp|
| 1942b		|  	| 1942 (First Version)					| 1942		| 1984	| Capcom	| Miscellaneous	| 					| sr-03.m3| src/burn/drv/pre90s/d_1942.cpp|
| 1942a		|  	| 1942 (Revision A)					| 1942		| 1984	| Capcom	| Miscellaneous	| 					| sra-03.m3| src/burn/drv/pre90s/d_1942.cpp|
| 1942abl	|  	| 1942 (Revision A, bootleg)				| 1942		| 1984	| Capcom	| Miscellaneous	| 					| 3.bin| src/burn/drv/pre90s/d_1942.cpp|
| 1942		|  	| 1942 (Revision B)					| 		| 1984	| Capcom	| Miscellaneous	| 					| srb-03.m3| src/burn/drv/pre90s/d_1942.cpp|
| 1942w		|  	| 1942 (Williams Electronics license)			| 1942		| 1985	| Capcom (Willia| Miscellaneous	| 					| sw-03.m3| src/burn/drv/pre90s/d_1942.cpp|
| 1943kai	|  	| 1943 Kai: Midway Kaisen (Japan)			| 		| 1987	| Capcom	| Miscellaneous	| 					| bmk01.12d| src/burn/drv/pre90s/d_1943.cpp|
| 1943bj	|  	| 1943: Midway Kaisen (bootleg)				| 1943		| 1987	| bootleg	| Miscellaneous	| 					| mkb03.12d| src/burn/drv/pre90s/d_1943.cpp|
| 1943ja	|  	| 1943: Midway Kaisen (Japan)				| 1943		| 1987	| Capcom	| Miscellaneous	| 					| bm01.12d| src/burn/drv/pre90s/d_1943.cpp|
| 1943jah	|  	| 1943: Midway Kaisen (Japan, no protection hack)	| 1943		| 1987	| Capcom	| Miscellaneous	| 					| bm01_hack.12d| src/burn/drv/pre90s/d_1943.cpp|
| 1943jaha	|  	| 1943: Midway Kaisen (Japan, no protection hack, alt)	| 1943		| 1987	| Capcom	| Miscellaneous	| 					| bm01_hack.12d| src/burn/drv/pre90s/d_1943.cpp|
| 1943j		|  	| 1943: Midway Kaisen (Japan, Rev B)			| 1943		| 1987	| Capcom	| Miscellaneous	| 					| bm01b.12d| src/burn/drv/pre90s/d_1943.cpp|
| 1943b		|  	| 1943: The Battle of Midway (bootleg set 1, hack of Japan set)| 1943		| 1987	| bootleg	| Miscellaneous	| 					| 1.12d| src/burn/drv/pre90s/d_1943.cpp|
| 1943b2	|  	| 1943: The Battle of Midway (bootleg set 2, hack of Japan set)| 1943		| 1987	| bootleg	| Miscellaneous	| 					| u28.bin| src/burn/drv/pre90s/d_1943.cpp|
| 1943		|  	| 1943: The Battle of Midway (Euro)			| 		| 1987	| Capcom	| Miscellaneous	| 					| bme01.12d| src/burn/drv/pre90s/d_1943.cpp|
| 1943ua	|  	| 1943: The Battle of Midway (US)			| 1943		| 1987	| Capcom	| Miscellaneous	| 					| bmu01.12d| src/burn/drv/pre90s/d_1943.cpp|
| 1943u		|  	| 1943: The Battle of Midway (US, Rev C)		| 1943		| 1987	| Capcom	| Miscellaneous	| 					| bmu01c.12d| src/burn/drv/pre90s/d_1943.cpp|
| 1943mii	|  	| 1943: The Battle of Midway Mark II (US)		| 		| 1988	| Capcom	| Miscellaneous	| 					| 01.12d| src/burn/drv/pre90s/d_1943.cpp|
| 1944		|  	| 1944 - the loop master (000620 Euro)			| 		| 2000	| Eighting / Rai| CPS2		| 					| nffe.03| src/burn/drv/capcom/d_cps2.cpp|
| 1944j		|  	| 1944 - the loop master (000620 Japan)			| 1944		| 2000	| Eighting / Rai| CPS2		| 					| nffj.03| src/burn/drv/capcom/d_cps2.cpp|
| 1944d		|  	| 1944 - the loop master (000620 USA Phoenix Edition)	| 1944		| 2000	| bootleg	| CPS2		| 					| nffud.03| src/burn/drv/capcom/d_cps2.cpp|
| 1944ad	|  	| 1944 - the loop master (000620 USA Phoenix Edition, alt)| 1944		| 2000	| bootleg	| CPS2		| 					| nffuad.03| src/burn/drv/capcom/d_cps2.cpp|
| 1944u		|  	| 1944 - the loop master (000620 USA)			| 1944		| 2000	| Eighting / Rai| CPS2		| 					| nffu.03| src/burn/drv/capcom/d_cps2.cpp|
| bgareggabl	|  	| 1945 Part 2 (Chinese hack of Battle Garegga)		| bgaregga	| 1996	| hack		| Toaplan GP9001| 					| xt-8m.bin| src/burn/drv/toaplan/d_battleg.cpp|
| 1945kiiin	|  	| 1945k III (newer, OPCX1 PCB)				| 1945kiii	| 2000	| Oriental Soft	| Miscellaneous	| 					| u34| src/burn/drv/pst90s/d_1945kiii.cpp|
| 1945kiii	|  	| 1945k III (newer, OPCX2 PCB)				| 		| 2000	| Oriental Soft	| Miscellaneous	| 					| prg-1.u51| src/burn/drv/pst90s/d_1945kiii.cpp|
| 1945kiiio	|  	| 1945k III (older, OPCX1 PCB)				| 1945kiii	| 1999	| Oriental Soft	| Miscellaneous	| 					| 3.u34| src/burn/drv/pst90s/d_1945kiii.cpp|
| 19xxar1	|  	| 19XX - the war against destiny (951207 Asia)		| 19xx		| 1995	| Capcom	| CPS2		| 					| 19xa.03| src/burn/drv/capcom/d_cps2.cpp|
| 19xxjr2	|  	| 19XX - the war against destiny (951207 Japan)		| 19xx		| 1995	| Capcom	| CPS2		| 					| 19xj.03| src/burn/drv/capcom/d_cps2.cpp|
| 19xxd		|  	| 19XX - the war against destiny (951207 USA Phoenix Edition)| 19xx		| 1995	| bootleg	| CPS2		| 					| 19xud.03| src/burn/drv/capcom/d_cps2.cpp|
| 19xxu		|  	| 19XX - the war against destiny (951207 USA)		| 19xx		| 1995	| Capcom	| CPS2		| 					| 19xu.03| src/burn/drv/capcom/d_cps2.cpp|
| 19xxb		|  	| 19XX - the war against destiny (951218 Brazil)	| 19xx		| 1995	| Capcom	| CPS2		| 					| 19xb.03a| src/burn/drv/capcom/d_cps2.cpp|
| 19xxh		|  	| 19XX - the war against destiny (951218 Hispanic)	| 19xx		| 1995	| Capcom	| CPS2		| 					| 19xh.03a| src/burn/drv/capcom/d_cps2.cpp|
| 19xxjr1	|  	| 19XX - the war against destiny (951225 Japan)		| 19xx		| 1995	| Capcom	| CPS2		| 					| 19xj.03a| src/burn/drv/capcom/d_cps2.cpp|
| 19xxa		|  	| 19XX - the war against destiny (960104 Asia)		| 19xx		| 1995	| Capcom	| CPS2		| 					| 09xa.03b| src/burn/drv/capcom/d_cps2.cpp|
| 19xx		|  	| 19XX - the war against destiny (960104 Euro)		| 		| 1995	| Capcom	| CPS2		| 					| 19xe.03b| src/burn/drv/capcom/d_cps2.cpp|
| 19xxj		|  	| 19XX - the war against destiny (960104 Japan, yellow case)| 19xx		| 1996	| Capcom	| CPS2		| 					| 19xj-03b.6a| src/burn/drv/capcom/d_cps2.cpp|
| openice	|  	| 2 On 2 Open Ice Challenge (rev 1.21)			| 		| 1995	| Midway	| MIDWAY Wolf-Un| 					| open_ice_l1.21.u54| src/burn/drv/midway/d_wunit.cpp|
| openicea	|  	| 2 On 2 Open Ice Challenge (rev 1.2A)			| openice	| 1995	| Midway	| MIDWAY Wolf-Un| 					| open_ice_781c_r1.2a.u54| src/burn/drv/midway/d_wunit.cpp|
| 2020bb	|  	| 2020 Super Baseball (set 1)				| 		| 1991	| SNK / Pallas	| Neo Geo MVS	| 					| 030-p1.p1| src/burn/drv/neogeo/d_neogeo.cpp|
| 2020bba	|  	| 2020 Super Baseball (set 2)				| 2020bb	| 1991	| SNK / Pallas	| Neo Geo MVS	| 					| 030-epr.p1| src/burn/drv/neogeo/d_neogeo.cpp|
| 2020bbh	|  	| 2020 Super Baseball (set 3)				| 2020bb	| 1991	| SNK / Pallas	| Neo Geo AES	| 					| 030-pg1.p1| src/burn/drv/neogeo/d_neogeo.cpp|
| 3countba	|  	| 3 Count Bout / Fire Suplex (NGM-043)			| 3countb	| 1993	| SNK		| Neo Geo MVS	| 					| 043-epr.ep1| src/burn/drv/neogeo/d_neogeo.cpp|
| 3countb	|  	| 3 Count Bout / Fire Suplex (NGM-043)(NGH-043)		| 		| 1993	| SNK		| Neo Geo MVS	| 					| 043-p1.p1| src/burn/drv/neogeo/d_neogeo.cpp|
| 3on3dunk	|  	| 3 On 3 Dunk Madness (US, prototype? 1997/02/04)	| 		| 1996	| Video System C| Miscellaneous	| 					| prog0_2_4_usa.u147| src/burn/drv/pst90s/d_inufuku.cpp|
| 3x3puzzl	|  	| 3X3 Puzzle (Enterprise)				| 		| 1998	| Ace Enterprise| Miscellaneous	| 					| 1.bin| src/burn/drv/pst90s/d_3x3puzzl.cpp|
| 3x3puzzla	|  	| 3X3 Puzzle (Normal)					| 3x3puzzl	| 1998	| Ace Enterprise| Miscellaneous	| 					| 1a.bin| src/burn/drv/pst90s/d_3x3puzzl.cpp|
| 4enraya	|  	| 4 En Raya (set 1)					| 		| 1990	| IDSA		| Miscellaneous	| 					| 5.bin| src/burn/drv/pre90s/d_4enraya.cpp|
| 4enrayaa	|  	| 4 En Raya (set 2)					| 4enraya	| 1990	| IDSA		| Miscellaneous	| 					| 5.bin| src/burn/drv/pre90s/d_4enraya.cpp|
| 4in1		|  	| 4 Fun in 1						| 		| 1981	| Armenia / Food| Galaxian	| 					| rom1a| src/burn/drv/galaxian/d_galaxian.cpp|
| 4play		|  	| 4 player input test					| 		| ???	| SNK		| Neo Geo MVS	| 4 player  input test cartridge	| 4play_p1.rom| src/burn/drv/neogeo/d_neogeo.cpp|
| 4dwarrio	|  	| 4-D Warriors (315-5162)				| 		| 1985	| Coreland / Seg| System 1	| 					| 4d.116| src/burn/drv/sega/d_sys1.cpp|
| 600		|  	| 600							| turtles	| 1981	| Konami	| Galaxian	| 					| 600_vid.2c| src/burn/drv/galaxian/d_galaxian.cpp|
| 64streetja	|  	| 64th. Street - A Detective Story (Japan, alt)		| 64street	| 1991	| Jaleco	| Mega System 1	| 					| ic53.bin| src/burn/drv/pre90s/d_megasys1.cpp|
| 64streetj	|  	| 64th. Street - A Detective Story (Japan, set 1)	| 64street	| 1991	| Jaleco	| Mega System 1	| 					| 91105-3.bin| src/burn/drv/pre90s/d_megasys1.cpp|
| 64street	|  	| 64th. Street - A Detective Story (World)		| 		| 1991	| Jaleco	| Mega System 1	| 					| 64th_03.rom| src/burn/drv/pre90s/d_megasys1.cpp|
| 7ordi		|  	| 7 Ordi (Korea)					| 		| 2002	| Yun Sung	| Miscellaneous	| 					| p1.u7| src/burn/drv/pst90s/d_nmg5.cpp|
| 800fath	|  	| 800 Fathoms						| mariner	| 1981	| Amenip (US Bil| Galaxian	| 					| tu1.2h| src/burn/drv/galaxian/d_galaxian.cpp|
| 800fatha	|  	| 800 Fathoms (older)					| mariner	| 1981	| Amenip (US Bil| Galaxian	| 					| tq1.2h| src/burn/drv/galaxian/d_galaxian.cpp|
| ablast	|  	| A-Blast (Japan)					| penbros	| 2000	| Subsino	| Newer Seta	| 					| a-blast_twn_u06.u06| src/burn/drv/pst90s/d_seta2.cpp|
| abcopjd	|  	| A.B. Cop (Japan, FD1094 317-0169b decrypted)		| abcop		| 1990	| Sega		| X-Board	| 					| bootleg_epr-13557b.ic58| src/burn/drv/sega/d_xbrd.cpp|
| abcopj	|  	| A.B. Cop (Japan, FD1094 317-0169b)			| abcop		| 1990	| Sega		| X-Board	| 					| epr-13557b.ic58| src/burn/drv/sega/d_xbrd.cpp|
| abcopd	|  	| A.B. Cop (World, FD1094 317-0169b decrypted)		| abcop		| 1990	| Sega		| X-Board	| 					| bootleg_epr13568b.ic58| src/burn/drv/sega/d_xbrd.cpp|
| abcop		|  	| A.B. Cop (World, FD1094 317-0169b)			| 		| 1990	| Sega		| X-Board	| 					| epr-13568b.ic58| src/burn/drv/sega/d_xbrd.cpp|
| ad2083	|  	| A.D. 2083						| 		| 1983	| Midcoin	| Galaxian	| Incomplete Sound			| ad0.10o| src/burn/drv/galaxian/d_galaxian.cpp|
| abscam	|  	| Abscam						| puckman	| 1981	| GL (US Billiar| Pac-man	| 					| as0.bin| src/burn/drv/pre90s/d_pacman.cpp|
| aceattac	|  	| Ace Attacker (FD1094 317-0059)			| 		| 1988	| Sega		| System 16B	| 					| epr-11491.a4| src/burn/drv/sega/d_sys16b.cpp|
| aceattaca	|  	| Ace Attacker (Japan, System 16A, FD1094 317-0060)	| aceattac	| 1986	| Sega		| System 16A	| 					| epr-11573.43| src/burn/drv/sega/d_sys16a.cpp|
| acrobatm	|  	| Acrobat Mission					| 		| 1991	| UPL (Taito lic| NMK16		| 					| 02_ic100.bin| src/burn/drv/pst90s/d_nmk16.cpp|
| dogfgt	|  	| Acrobatic Dog-Fight					| 		| 1984	| Technos Japan	| Miscellaneous	| 					| bx00.52| src/burn/drv/pre90s/d_dogfgt.cpp|
| dogfgtu	|  	| Acrobatic Dog-Fight (USA)				| dogfgt	| 1985	| Technos Japan | Miscellaneous	| 					| bx00.52| src/burn/drv/pre90s/d_dogfgt.cpp|
| actfancrj	|  	| Act-Fancer Cybernetick Hyper Weapon (Japan revision 1)| actfancr	| 1989	| Data East Corp| Miscellaneous	| 					| fd08-1.bin| src/burn/drv/dataeast/d_actfancr.cpp|
| actfancr1	|  	| Act-Fancer Cybernetick Hyper Weapon (World revision 1)| actfancr	| 1989	| Data East Corp| Miscellaneous	| 					| 08-1| src/burn/drv/dataeast/d_actfancr.cpp|
| actfancr2	|  	| Act-Fancer Cybernetick Hyper Weapon (World revision 2)| actfancr	| 1989	| Data East Corp| Miscellaneous	| 					| fe08-2.bin| src/burn/drv/dataeast/d_actfancr.cpp|
| actfancr	|  	| Act-Fancer Cybernetick Hyper Weapon (World revision 3)| 		| 1989	| Data East Corp| Miscellaneous	| 					| fe08-3.bin| src/burn/drv/dataeast/d_actfancr.cpp|
| afighterc	|  	| Action Fighter (FD1089B 317-unknown)			| afighter	| 1986	| Sega		| System 16A	| 					| epr10302.bin| src/burn/drv/sega/d_sys16a.cpp|
| afighterd	|  	| Action Fighter (FD1089B 317-unknown, analog controls)	| afighter	| 1986	| Sega		| System 16A	| 					| epr10278.bin| src/burn/drv/sega/d_sys16a.cpp|
| afighterh	|  	| Action Fighter (System 16B, FD1089A 317-0018)		| afighter	| 1991	| Sega		| System 16B	| 					| epr10357.bin| src/burn/drv/sega/d_sys16b.cpp|
| afighterg	|  	| Action Fighter (System 16B, FD1089B 317-unknown)	| afighter	| 1991	| Sega		| System 16B	| 					| epr10163.bin| src/burn/drv/sega/d_sys16b.cpp|
| afighterf	|  	| Action Fighter (System 16B, FD1089B 317-unknown, analog controls)| afighter| 1991	| Sega		| System 16B	| 					| epr10036.bin| src/burn/drv/sega/d_sys16b.cpp|
| afightere	|  	| Action Fighter (System 16B, unprotected, analog controls)| afighter	| 1991	| Sega		| System 16B	| 					| epr10272.bin| src/burn/drv/sega/d_sys16b.cpp|
| afightera	|  	| Action Fighter (unprotected)				| afighter	| 1986	| Sega		| System 16A	| 					| epr10318.bin| src/burn/drv/sega/d_sys16a.cpp|
| afighterb	|  	| Action Fighter (unprotected, analog controls)		| afighter	| 1986	| Sega		| System 16A	| 					| epr10296.bin| src/burn/drv/sega/d_sys16a.cpp|
| afighter	|  	| Action Fighter, FD1089A 317-0018			| 		| 1986	| Sega		| System 16A	| 					| epr-10353| src/burn/drv/sega/d_sys16a.cpp|
| actionhw	|  	| Action Hollywood					| 		| 1995	| TCH		| Miscellaneous	| 					| 2.ic6| src/burn/drv/pst90s/d_kickgoal.cpp|
| hatena	|  	| Adventure Quiz 2 - Hatena? no Daibouken (Japan 900228)| 		| 1990	| Capcom	| Miscellaneous	| 					| q2-05.rom| src/burn/drv/pre90s/d_mitchell.cpp|
| cworld2j	|  	| Adventure Quiz Capcom World 2 (920611 Japan)		| 		| 1992	| Capcom	| CPS1		| 					| q5_36.12f| src/burn/drv/capcom/d_cps1.cpp|
| cworld2ja	|  	| Adventure Quiz Capcom World 2 (Japan 920611, B-Board 90629B-3, no battery)| cworld2j| 1992| Capcom	| CPS1		| 					| q5 - 34_90629b.8f| src/burn/drv/capcom/d_cps1.cpp|
| cworld2jb	|  	| Adventure Quiz Capcom World 2 (Japan 920611, B-Board 91634B-2)| cworld2j| 1992	| Capcom	| CPS1		| 					| q5 - 23_91634b.8f| src/burn/drv/capcom/d_cps1.cpp|
| aerofgt	|  	| Aero Fighters						| 		| 1992	| Video System C| Video System	| 					| 1.u4| src/burn/drv/pst90s/d_aerofgt.cpp|
| aerofgtb	|  	| Aero Fighters (Turbo Force hardware set 1)		| aerofgt	| 1992	| Video System C| Video System	| 					| v2| src/burn/drv/pst90s/d_aerofgt.cpp|
| aerofgtc	|  	| Aero Fighters (Turbo Force hardware set 2)		| aerofgt	| 1992	| Video System C| Video System	| 					| v2.149| src/burn/drv/pst90s/d_aerofgt.cpp|
| sonicwi2	|  	| Aero Fighters 2 / Sonic Wings 2			| 		| 1994	| Video System C| Neo Geo MVS	| 					| 075-p1.p1| src/burn/drv/neogeo/d_neogeo.cpp|
| sonicwi3	|  	| Aero Fighters 3 / Sonic Wings 3			| 		| 1995	| Video System C| Neo Geo MVS	| 					| 097-p1.p1| src/burn/drv/neogeo/d_neogeo.cpp|
| aeroboto	|  	| Aeroboto						| formatz	| 1984	| Jaleco (Willia| Miscellaneous	| 					| aeroboto.8| src/burn/drv/pre90s/d_aeroboto.cpp|
| aerolitos	|  	| Aerolitos (Spanish bootleg of Asteroids)		| asteroid	| 1980	| bootleg (Rodma| Miscellaneous	| 					| 2516_1e.bin| src/burn/drv/pre90s/d_asteroids.cpp|
| aburner	|  	| After Burner						| aburner2	| 1987	| Sega		| X-Board	| 					| epr-10940.58| src/burn/drv/sega/d_xbrd.cpp|
| aburner2	|  	| After Burner II					| 		| 1987	| Sega		| X-Board	| 					| epr-11107.58| src/burn/drv/sega/d_xbrd.cpp|
| aburner2g	|  	| After Burner II (German)				| aburner2	| 1987	| Sega		| X-Board	| 					| epr-11173a.58| src/burn/drv/sega/d_xbrd.cpp|
| aoh		|  	| Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07)	| 		| 2001	| Unico		| Miscellaneous	| 					| rom1| src/burn/drv/pst90s/d_vamphalf.cpp|
| superbon	|  	| Agent Super Bond (scobra hardware)			| 		| 1985	| Signaton USA	| Galaxian	| Bad Colours				| 2d.cpu| src/burn/drv/galaxian/d_galaxian.cpp|
| agentx1	|  	| Agent X (prototype, rev 1)				| cloak		| 1983	| Atari		| Miscellaneous	| 					| 136101-023.bin| src/burn/drv/pre90s/d_cloak.cpp|
| agentx2	|  	| Agent X (prototype, rev 2)				| cloak		| 1983	| Atari		| Miscellaneous	| 					| 136201-023.bin| src/burn/drv/pre90s/d_cloak.cpp|
| agentx3	|  	| Agent X (prototype, rev 3)				| cloak		| 1983	| Atari		| Miscellaneous	| 					| 136301-023.bin| src/burn/drv/pre90s/d_cloak.cpp|
| agentx4	|  	| Agent X (prototype, rev 4)				| cloak		| 1983	| Atari		| Miscellaneous	| 					| 136401-023.bin| src/burn/drv/pre90s/d_cloak.cpp|
| aodk		|  	| Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku (ADM-008)(ADH-008)| | 1994	| ADK / SNK	| Neo Geo MVS	| 					| 074-p1.p1| src/burn/drv/neogeo/d_neogeo.cpp|
| agress	|  	| Agress						| 		| 1991	| Palco		| Miscellaneous	| 					| palco1.81| src/burn/drv/pre90s/d_blockout.cpp|
| agressb	|  	| Agress (English bootleg)				| agress	| 2003	| Palco		| Miscellaneous	| 					| palco1.ic81| src/burn/drv/pre90s/d_blockout.cpp|
| koshien	|  	| Ah Eikou no Koshien (Japan)				| 		| 1990	| Taito Corporat| Taito F2	| 					| c81-11.bin| src/burn/drv/taito/d_taitof2.cpp|
| airass	|  	| Air Assault (World)					| 		| 1993	| Irem		| Irem M107	| 					| f4-a-h0-etc.h0| src/burn/drv/irem/d_m107.cpp|
| airattck	|  	| Air Attack (set 1)					| 		| 1996	| Comad		| NMK16		| 					| uc10.bin| src/burn/drv/pst90s/d_nmk16.cpp|
| airattcka	|  	| Air Attack (set 2)					| airattck	| 1996	| Comad		| NMK16		| 					| 5.ue10| src/burn/drv/pst90s/d_nmk16.cpp|
| airbustrb	|  	| Air Buster: Trouble Specialty Raid Unit (bootleg)	| airbustr	| 1990	| bootleg	| Miscellaneous	| 					| 5.bin| src/burn/drv/pst90s/d_airbustr.cpp|
| airbustrj	|  	| Air Buster: Trouble Specialty Raid Unit (Japan)	| airbustr	| 1990	| Kaneko (Namco | Miscellaneous	| 					| pr-14j.bin| src/burn/drv/pst90s/d_airbustr.cpp|
| airbustr	|  	| Air Buster: Trouble Specialty Raid Unit (World)	| 		| 1990	| Kaneko (Namco | Miscellaneous	| 					| pr12.h19| src/burn/drv/pst90s/d_airbustr.cpp|
| airdueljm72	|  	| Air Duel (Japan, M72 hardware)			| airduel	| 1990	| Irem		| Irem M72	| 					| ad-c-h0.ic40| src/burn/drv/irem/d_m72.cpp|
| airduelu	|  	| Air Duel (US location test, M82 hardware)		| airduel	| 1990	| Irem		| Irem M82	| 					| r10-m82a-h0.ic52| src/burn/drv/irem/d_m72.cpp|
| airduelm72	|  	| Air Duel (World, M72 hardware)			| airduel	| 1990	| Irem		| Irem M72	| 					| ad-c-h0-c.ic40| src/burn/drv/irem/d_m72.cpp|
| airduel	|  	| Air Duel (World, M82 hardware)			| 		| 1990	| Irem		| Irem M82	| 					| ad_=m82=_a-h0-d.ic52| src/burn/drv/irem/d_m72.cpp|
| agallet	|  	| Air Gallet (Europe)					| 		| 1996	| BanPresto / Ga| Cave		| 					| bp962a.u45| src/burn/drv/cave/d_sailormn.cpp|
| agalleth	|  	| Air Gallet (Hong Kong)				| agallet	| 1996	| BanPresto / Ga| Cave		| 					| bp962a.u45| src/burn/drv/cave/d_sailormn.cpp|
| agalletk	|  	| Air Gallet (Korea)					| agallet	| 1996	| BanPresto / Ga| Cave		| 					| bp962a.u45| src/burn/drv/cave/d_sailormn.cpp|
| agalleta	|  	| Air Gallet (older, Europe)				| agallet	| 1996	| BanPresto / Ga| Cave		| 					| u45| src/burn/drv/cave/d_sailormn.cpp|
| agalletah	|  	| Air Gallet (older, Hong Kong)				| agallet	| 1996	| BanPresto / Ga| Cave		| 					| u45| src/burn/drv/cave/d_sailormn.cpp|
| agalletak	|  	| Air Gallet (older, Korea)				| agallet	| 1996	| BanPresto / Ga| Cave		| 					| u45| src/burn/drv/cave/d_sailormn.cpp|
| agalletat	|  	| Air Gallet (older, Taiwan)				| agallet	| 1996	| BanPresto / Ga| Cave		| 					| u45| src/burn/drv/cave/d_sailormn.cpp|
| agalletau	|  	| Air Gallet (older, USA)				| agallet	| 1996	| BanPresto / Ga| Cave		| 					| u45| src/burn/drv/cave/d_sailormn.cpp|
| agallett	|  	| Air Gallet (Taiwan)					| agallet	| 1996	| BanPresto / Ga| Cave		| 					| bp962a.u45| src/burn/drv/cave/d_sailormn.cpp|
| agalletu	|  	| Air Gallet (USA)					| agallet	| 1996	| BanPresto / Ga| Cave		| 					| bp962a.u45| src/burn/drv/cave/d_sailormn.cpp|
| arescuej	|  	| Air Rescue (Japan)					| arescue	| 1992	| Sega		| System 32	| 					| epr-14515.ic13| src/burn/drv/sega/d_segas32.cpp|
| arescueu	|  	| Air Rescue (US)					| arescue	| 1992	| Sega		| System 32	| 					| epr-14540.ic13| src/burn/drv/sega/d_segas32.cpp|
| arescue	|  	| Air Rescue (World)					| 		| 1992	| Sega		| System 32	| 					| epr-14542.ic13| src/burn/drv/sega/d_segas32.cpp|
| airwolf	|  	| Airwolf						| 		| 1987	| Kyugo		| Miscellaneous	| 					| b.2s| src/burn/drv/pre90s/d_kyugo.cpp|
